Project name,ID,Country,Partners,Project type,Announcement,FID,Opertion,Suspension/decommissioning,Project Status,Project phase,Announced capacity (Mt CO2/yr),Estimated capacity by IEA (Mt CO2/yr),Sector,Fate of carbon,Part of CCUS hub,Region
Pathways Alliance (T&S) (ALB),506,Canada,"Pathways Alliance (CNRL, Cenovus Energy, ConocoPhilips, Imperial, MEG Energy, and Suncor)",T&S,2022,,2030,,Planned,,10 - 12,12,T&S,Dedicated storage,Pathways Alliance (T&S) (ALB),North America
PCS Nitrogen Geismar Ammonia plant (LA),304,United States,"Nutrien, ExxonMobil (formerly Denbury carbon solutions)",Capture,2022,2024,2027,,Planned,,1.2 - 1.8,1.8,Hydrogen or ammonia,Dedicated storage,Denbury Green pipeline /Gemini (LA),North America
PCS Nitrogen-Geismar plant (LA),305,United States,"Nutrien, ExxonMobil (formerly Denbury carbon solutions)",Full chain,2011,2011,2013,,Operational,,0.2 - 0.3,0.3,Chemicals,EOR,,North America
Peak cluster transport,768,United Kingdom,"Progressive Energy, Breedon group",Transport,2023,,2030,,Planned,,3,3,Transport,Dedicated storage,Peak cluster transport/Morecambe Net Zero Cluster,Europe
Pecos County Ultra Clean Fuels Refining (TX),451,United States,MMEX,Capture,2021,,,,Planned,,,,Other fuel transformation,EOR,,North America
Pegasus (LA),883,United States,ExxonMobil (formerly Denbury carbon solutions),Storage,2022,,2027,,Planned,,10 - 20,10,Storage,Unknown/unspecified,,North America
Pelican Rindge Tract CCS Project (CA),900,United States,Pelican Renewables LLC ,Full Chain,2023,,,,Planned,,2,2,Biofuels,Dedicated storage,,North America
Pelican sequestration hub (Livingston Parish) (LA),815,United States,"Pelican Sequestration Hub LLC (Oxy low carbon ventures, Occidental), and Rusheen Capital",Storage,2022,,2025,,Planned,,6,6,Storage,Dedicated storage,EnLink midstream network/ Pelican sequestration hub,North America
Pembina low carbon complex,791,Canada,"Pembina Pipeline Corporation, Marubeni",Capture,2023,,2027,,Planned,,,,Hydrogen or ammonia,Dedicated storage,Alberta Carbon Grid (ALB),North America
Pembroke Net Zero Centre (PNZC),515,United Kingdom,RWE,Capture,2022,2024,2040,,Planned,,5.149,5.149,Power and heat,Dedicated storage,,Europe
Permian Regional Carbon Sequestration Hub (TX),1084,United States,Omnia midstream partners,T&S,2023,,,,Planned,,2,2,T&S,Unknown/unspecified,Permian Regional Carbon Sequestration Hub (TX),North America
Peterhead Carbon Capture Power Station,307,United Kingdom,"SSE Thermal, Equinor",Capture,2021,2024,2030,,Planned,,1.5,1.5,Power and heat,Dedicated storage,Acorn CCS,Europe
Petra Nova Carbon Capture (TX),309,United States,"Equity: NRG and JX Nippon, Debt: JBIC & Mizhou bank (backed by NEXI)",Full chain,2009,2014,2023,2023,Operational,,1.4,1.4,Power and heat,EOR,,North America
Petrobras Santos Basin pre-salt oilfield CCS,310,Brazil,Petrobas,Full chain,2011,,2013,,Operational,,3 - 10.6,10.6,Natural gas processing/LNG,EOR,,Central and South America
Petronas Kasawari gas field CCS project (Kasawari Phase 2 project),311,Malaysia,"Petronas, Technip, National Petroleum Construction Company, Worley (EPC), Kawasaki Heavy Industries, Malaysia Marine and Heavy Engineering Sdn Bhd (Compressor)",Full chain,2020,2022,2025,,Under construction,,3.3,3.3,Natural gas processing/LNG,Dedicated storage,,Other Asia Pacific
Phillips 66 Humber refinery,312,United Kingdom,"Phillips 66, Babcock & Wilcox (FEED)",Capture,2021,,2028,,Planned,,4,4,Other fuel transformation,Dedicated storage,Viking CCS,Europe
Phoenix project (TX),982,United States,Projeo Corporation,Storage,2023,,,,Planned,,,,Storage,Dedicated storage,Phoenix project (TX),North America
Pieridae Caroline Carbon Capture Power Complex Phase 1 (ALB),313,Canada,Pieridae Energy Ltd.,Full chain,2021,,,,Planned,1,1,1,Power and heat,Dedicated storage,,North America
Pieridae Caroline Carbon Capture Power Complex Phase 2 (ALB),314,Canada,Pieridae Energy Ltd.,Full chain,2021,,,,Planned,2,2,2,Power and heat,Dedicated storage,,North America
Pincher Creek Carbon Sequestration Hub (ALB),508,Canada, West Lake Energy Corp.,Storage,2022,,,,Planned,,2.7,2.7,Storage,Dedicated storage,Pincher Creek Carbon Sequestration Hub (ALB),North America
Pine Lake Corn Processors Steamboat Rock biorefinery (IA),315,United States,"Pine Lake Corn Processors, Summit Carbon Solutions",Capture,2021,2024,2024,,Planned,,0.19 - 0.23,0.229,Biofuels,Dedicated storage,Midwest carbon express,North America
Pineywoods CCS hub (TX),1049,United States,Pineywoods CCS hub LLC (Tenaska),Storage,2023,,,,Planned,,,,Storage,Dedicated storage,Pineywoods CCS hub (TX),North America
